[0]                            Vertices:   ID | Target Rank | Position  | Neighbor Edges
[0]                                       182 |           0 |       72 |       73 |      150
[0]                                       183 |           0 |       74 |       75 |      140
[0]                                       184 |           0 |       76 |       77 |      142
[0]                                       185 |           0 |       78 |       79 |      154
[0]                                       186 |           0 |       79 |       80 |      157
[0]                                       187 |           0 |       81 |       82 |      161
[0]                                       188 |           0 |       81 |       83 |      162
[0]                                       189 |           0 |       84 |       85 |      130
[0]                                       190 |           0 |       86 |       87 |      139
[0]                                       191 |           0 |       88 |       89 |      145
[0]                                       192 |           0 |       90 |       91 |      144
[0]                                       193 |           0 |       92 |       93 |      165
[0]                                       194 |           0 |       93 |       94 |      168
[0]                                       195 |           0 |       95 |       96 |       99
[0]                                       196 |           0 |       97 |       98 |      153
[0]                                       197 |           0 |      100 |      101 |      147
[0]                                       198 |           0 |      102 |      103 |      125
[0]                                       199 |           0 |      104 |      105 |      149
[0]                                       200 |           0 |      105 |      106 |      151
[0]                                       201 |           0 |      107 |      108 |      155
[0]                                       202 |           0 |      108 |      109 |      156
[0]                                       203 |           0 |      110 |      111 |      120
[0]                                       204 |           0 |      112 |      113 |      130
[0]                                       205 |           0 |      114 |      115 |      159
[0]                                       206 |           0 |      115 |      116 |      163
[0]                                       207 |           0 |      117 |      118 |      167
[0]                                       208 |           0 |      117 |      119 |      169
[0]                                       209 |           0 |      121 |      122 |      166
[0]                                       210 |           0 |      123 |      124 |      160
[0]                                       211 |           0 |      126 |      127 |      158
[0]                                       212 |           0 |      128 |      129 |      152
[0]                                       213 |           0 |      131 |      132 |      170
[0]                                       214 |           0 |      133 |      134 |      164
[0]                                       215 |           0 |      135 |      136 |      137
[0]                                       216 |           0 |      138 |      139 |      140
[0]                                       217 |           0 |      141 |      142 |      143
[0]                                       218 |           0 |      144 |      145 |      146
[0]                                       219 |           0 |      147 |      148 |      149
[0]                                       220 |           0 |      150 |      151 |      152
[0]                                       221 |           0 |      153 |      154 |      155
[0]                                       222 |           0 |      156 |      157 |      158
[0]                                       223 |           0 |      159 |      160 |      161
[0]                                       224 |           0 |      162 |      163 |      164
[0]                                       225 |           0 |      165 |      166 |      167
[0]                                       226 |           0 |      168 |      169 |      170
